Root Word,Number of Categories,Number of Occurrences,Score
Madre,4,6,39903.0
Manzanares,4,6,39903.0
Maxwell,4,5,48786.0
Mesquite,4,12,13254.0
Mexico State,4,11,16497.0
Milagro,4,5,48786.0
Montoya,4,6,39903.0
Monument,4,19,6486.0
New Mexico State,4,11,16497.0
Nutt,4,4,57528.0
Ocate,4,4,57528.0
Ojito,4,4,57528.0
Ojitos,4,6,39903.0
Pacheco,4,4,57528.0
Padilla,4,11,16497.0
Peralta,4,5,48786.0
Piedras,4,5,48786.0
Portales,4,5,48786.0
Pyramid,4,11,16497.0
Quik,4,7,31866.0
Ranchos,4,5,48786.0
Red River,4,7,31866.0
Rita,4,11,16497.0
Ruidoso,4,6,39903.0
Saint Joseph,4,7,31866.0
Salazar,4,10,19176.0
San Antonio,4,21,5922.0
San Lorenzo,4,8,26226.0
San Luis,4,7,31866.0
San Rafael,4,7,31866.0
Sandia Peak,4,5,48786.0
Santa Cruz,4,6,39903.0
Sawmill,4,20,6204.0
Silver City,4,6,39903.0
Slate,4,5,48786.0
Soledad,4,4,57528.0
South Fork,4,6,39903.0
South Valley,4,4,57528.0
Spruce,4,7,31866.0
Stanton,4,6,39903.0
Sunflower,4,9,21714.0
Tecolote,4,9,21714.0
Torres,4,8,26226.0
Trading Post,4,19,6486.0
Trementina,4,4,57528.0
Tres,4,12,13254.0
Truth or,4,7,31866.0
Truth or Consequences,4,7,31866.0
Twin Buttes,4,6,39903.0
Twin Peaks,4,9,21714.0
University of,4,6,39903.0
Vado,4,6,39903.0
Valdez,4,6,39903.0
Victorio,4,6,39903.0
Vida,4,5,48786.0
Wagon Mound,4,5,48786.0
Watrous,4,4,57528.0
West Mesa,4,7,31866.0
Willard,4,5,48786.0
Yeso,4,8,26226.0
Zaragoza,4,5,48786.0
de San,4,12,13254.0
del Sol,4,4,57528.0
or Consequences,4,7,31866.0
Abajo,3,5,87884.0
Abiquiu,3,3,131572.0
Abundant,3,3,131572.0
Acoma,3,3,131572.0
Agua Fria,3,6,71882.0
Air Force,3,5,87884.0
Air Force Base,3,4,103632.0
Alcalde,3,3,131572.0
Alvarado,3,4,103632.0
Ancho,3,7,57404.0
Animas,3,6,71882.0
Antelope,3,43,3302.0
Anthonys,3,4,103632.0
Anton,3,3,131572.0
Apodaca,3,3,131572.0
Aragon,3,8,47244.0
Archuleta,3,3,131572.0
Armijo,3,8,47244.0
Arriba,3,4,103632.0
Arrowhead,3,3,131572.0
Art Center,3,4,103632.0
Atwood,3,3,131572.0
Badger,3,6,71882.0
Badlands,3,7,57404.0
Baldy,3,25,7112.0
Barber,3,31,5588.0
Bartlett,3,4,103632.0
Beacon,3,6,71882.0
Bead,3,4,103632.0
Berino,3,4,103632.0
Bernalillo,3,15,18796.0
Bessie,3,4,103632.0
Bighorn,3,3,131572.0
Bitter,3,5,87884.0
Black Mountain,3,32,5080.0
Black Range,3,3,131572.0
Blackbird,3,5,87884.0
Blue Water,3,4,103632.0
Borrego Pass,3,3,131572.0
Bronco,3,3,131572.0
Buckhorn,3,8,47244.0
Buen,3,4,103632.0
Burnt,3,10,34544.0
Burro,3,21,10668.0
Caballo,3,6,71882.0
CafÃ©,3,9,39116.0
Candelaria,3,3,131572.0
Canjilon,3,4,103632.0
Canovas,3,6,71882.0
Carrizo,3,7,57404.0
Casa Blanca,3,3,131572.0
CaÃ±on,3,3,131572.0
CaÃ±ones,3,3,131572.0
Cebolla,3,5,87884.0
Center Point,3,3,131572.0
Central New,3,3,131572.0
Central New Mexico,3,3,131572.0
Central Pharmacy,3,3,131572.0
Centro de,3,6,71882.0
Chaco,3,4,103632.0
Chacon,3,3,131572.0
Chaves,3,4,103632.0
Chical,3,4,103632.0
Chico,3,3,131572.0
Chimney,3,18,13208.0
Chino,3,5,87884.0
Chupadera,3,4,103632.0
Chuska,3,4,103632.0
Cibola,3,3,131572.0
Cliffs,3,7,57404.0
Clifton,3,4,103632.0
Colfax,3,3,131572.0
Comanche,3,11,29718.0
Continental Divide,3,5,87884.0
Cortez,3,3,131572.0
Crater,3,14,19812.0
Cristobal,3,3,131572.0
Crockett,3,5,87884.0
Crow,3,8,47244.0
Cuchilla,3,5,87884.0
Dalton,3,3,131572.0
Dandy,3,3,131572.0
De La,3,4,103632.0
Deadman,3,7,57404.0
Del Sol,3,3,131572.0
Deming,3,7,57404.0
Des Moines,3,4,103632.0
Desert Hills,3,3,131572.0
Dexter,3,4,103632.0
Dining Hall,3,4,103632.0
Dorsey,3,4,103632.0
Doubtful,3,5,87884.0
Doyle,3,3,131572.0
DoÃ±a Ana,3,3,131572.0
Duke City,3,8,47244.0
Dulce,3,4,103632.0
Duran's Central,3,3,131572.0
Duran's Central Pharmacy,3,3,131572.0
Eastside,3,6,71882.0
El Capitan,3,3,131572.0
El Paso County,3,7,57404.0
El Rey,3,3,131572.0
Eldorado,3,6,71882.0
Enchanted,3,6,71882.0
Encino,3,5,87884.0
Etc.,3,3,131572.0
Fairview,3,7,57404.0
Flechado,3,3,131572.0
Force Base,3,4,103632.0
Forrest,3,4,103632.0
Fort Bayard,3,3,131572.0
Frances,3,3,131572.0
Franks,3,4,103632.0
Fuller,3,3,131572.0
Gabaldon,3,4,103632.0
Garfield,3,3,131572.0
Gavilan,3,6,71882.0
Geronimo,3,8,47244.0
Gillespie,3,4,103632.0
Gold Hill,3,8,47244.0
Gomez,3,3,131572.0
Gorge,3,3,131572.0
Grandview,3,6,71882.0
Granite,3,17,15240.0
Graveyard,3,5,87884.0
Griego,3,4,103632.0
Guadalupita,3,3,131572.0
Guaje,3,3,131572.0
Gypsum,3,8,47244.0
Hackberry,3,8,47244.0
Hanover,3,3,131572.0
Harwood,3,3,131572.0
Hawkins,3,4,103632.0
Haystack,3,13,22098.0
Health System,3,3,131572.0
Hermosa,3,4,103632.0
Heron,3,4,103632.0
High Lonesome,3,44,2794.0
Hillsboro,3,4,103632.0
Hilltop,3,7,57404.0
Hogback,3,5,87884.0
Homestead,3,12,23876.0
Horse Shoe,3,4,103632.0
Horseshoe,3,11,29718.0
House of,3,3,131572.0
Ilfield,3,3,131572.0
Inc.,3,13,22098.0
Indian School,3,5,87884.0
Indigo,3,4,103632.0
Jacinto,3,3,131572.0
Jacks,3,7,57404.0
Jacobs,3,3,131572.0
Jawbone,3,4,103632.0
JuÃ¡rez,3,7,57404.0
Keller,3,4,103632.0
Kerr,3,8,47244.0
Kewa,3,3,131572.0
Kiowa,3,7,57404.0
Kirtland,3,6,71882.0
Kit Carson,3,3,131572.0
Kline,3,3,131572.0
La Cienega,3,3,131572.0
La Loma,3,6,71882.0
La Madera,3,6,71882.0
La Mesa,3,13,22098.0
Lake Arthur,3,5,87884.0
Lakewood,3,3,131572.0
Largo,3,16,16256.0
Las Cruces,3,7,57404.0
Lava,3,7,57404.0
Legion,3,7,57404.0
Leyba,3,3,131572.0
Little Bear,3,6,71882.0
Little Red,3,4,103632.0
Llano,3,5,87884.0
Loco,3,10,34544.0
Lone Pine,3,7,57404.0
Lone Tree,3,5,87884.0
Lookout,3,23,9144.0
Los Cerritos,3,8,47244.0
Lourdes,3,3,131572.0
Lovelace,3,6,71882.0
Malpais,3,9,39116.0
Manzanita,3,5,87884.0
Mariano,3,4,103632.0
Mariposa,3,3,131572.0
Marquez,3,7,57404.0
Marys,3,5,87884.0
Maverick,3,12,23876.0
McKinley,3,5,87884.0
Meadow,3,9,39116.0
Meadows,3,3,131572.0
Medanales,3,3,131572.0
Medical Center,3,11,29718.0
Michael's,3,4,103632.0
Midway,3,6,71882.0
Misiones,3,4,103632.0
Mister,3,4,103632.0
Monastery,3,6,71882.0
Montosa,3,9,39116.0
Montoso,3,8,47244.0
Montwood,3,3,131572.0
Moreno,3,4,103632.0
Mount Taylor,3,4,103632.0
Mule,3,19,11684.0
Museum of,3,3,131572.0
Nacimiento,3,4,103632.0
Negrito,3,7,57404.0
Negro,3,22,10160.0
New Hope,3,4,103632.0
No Agua,3,4,103632.0
No Name,3,4,103632.0
Nob Hill,3,6,71882.0
North Star,3,12,23876.0
Northern New,3,4,103632.0
Northern New Mexico,3,4,103632.0
Northgate,3,4,103632.0
Northside,3,5,87884.0
Nuestra SeÃ±ora,3,18,13208.0
Ojo de,3,3,131572.0
Old Town,3,8,47244.0
One Stop,3,4,103632.0
Ortega,3,7,57404.0
Oscura,3,6,71882.0
Osha,3,5,87884.0
Otero,3,4,103632.0
Outlaw,3,5,87884.0
Pablo,3,6,71882.0
Padillas,3,3,131572.0
Paguate,3,3,131572.0
Palma,3,6,71882.0
Panda,3,17,15240.0
Paso County,3,7,57404.0
Paws,3,3,131572.0
Pearson,3,4,103632.0
Pedernal,3,4,103632.0
PeÃ±asco,3,6,71882.0
Picacho,3,9,39116.0
Piedra,3,12,23876.0
Pilar,3,3,131572.0
Pinabetal,3,4,103632.0
Pinabete,3,3,131572.0
Pine Hill,3,4,103632.0
Pinon,3,8,47244.0
Pinos Altos,3,5,87884.0
Playas,3,4,103632.0
Point of,3,6,71882.0
Ponderosa,3,5,87884.0
Presbyterian,3,29,6096.0
Prewitt,3,4,103632.0
Primo,3,4,103632.0
Public Safety,3,4,103632.0
Pueblito,3,4,103632.0
Purple Sage,3,4,103632.0
Quail,3,6,71882.0
Quemado,3,5,87884.0
Quintana,3,5,87884.0
Ramah,3,4,103632.0
Rattlesnake,3,23,9144.0
Raven,3,3,131572.0
Red Bluff,3,5,87884.0
Red Hill,3,24,8382.0
Red House,3,3,131572.0
Refuge,3,4,103632.0
Rincon,3,19,11684.0
Roadrunner,3,5,87884.0
Rodeo,3,4,103632.0
Roosevelt,3,9,39116.0
Saint Anthony,3,11,29718.0
Saint Francis,3,9,39116.0
Salado,3,9,39116.0
San Andres,3,3,131572.0
San Antonito,3,4,103632.0
San Diego,3,3,131572.0
San Elizario,3,5,87884.0
San Isidro,3,3,131572.0
San Jon,3,3,131572.0
San Ysidro,3,7,57404.0
Sandoval,3,12,23876.0
Santa Rita,3,9,39116.0
Santiago,3,6,71882.0
Santo Domingo,3,3,131572.0
Santos,3,5,87884.0
Sapello,3,4,103632.0
Sardine,3,3,131572.0
Seboyeta,3,3,131572.0
Seneca,3,3,131572.0
Shack,3,6,71882.0
Sheridan,3,4,103632.0
Shiprock,3,7,57404.0
Sierra Blanca,3,5,87884.0
Sixteen,3,9,39116.0
Smith's,3,17,15240.0
Soda,3,4,103632.0
Sombrero,3,4,103632.0
South Side,3,4,103632.0
Southside,3,3,131572.0
Springs Ranch,3,3,131572.0
Spruce Creek,3,3,131572.0
Spur,3,7,57404.0
Steeple,3,3,131572.0
Stout,3,4,103632.0
Strawberry,3,4,103632.0
Sulphur,3,9,39116.0
Sundance,3,7,57404.0
Swan,3,5,87884.0
Tapia,3,7,57404.0
Taylor Ranch,3,3,131572.0
Thoreau,3,5,87884.0
Tierra Amarilla,3,4,103632.0
Tip Top,3,8,47244.0
Tomas,3,4,103632.0
Toro,3,8,47244.0
Training Center,3,3,131572.0
Tramway,3,3,131572.0
Travel Center,3,11,29718.0
Tres Piedras,3,3,131572.0
Trujillo,3,10,34544.0
Turquoise Trail,3,3,131572.0
Tusas,3,5,87884.0
Twin Hills,3,4,103632.0
U.S.,3,9,39116.0
University of New,3,5,87884.0
University of New Mexico,3,5,87884.0
Unser,3,3,131572.0
Upper Valley,3,3,131572.0
Uptown,3,7,57404.0
Vallecitos,3,3,131572.0
Vaughn,3,6,71882.0
Velarde,3,4,103632.0
Venado,3,4,103632.0
Vera Cruz,3,3,131572.0
Viejo,3,4,103632.0
Vigil,3,6,71882.0
Villa de,3,3,131572.0
Vino,3,3,131572.0
Wagon Wheel,3,3,131572.0
Walmart,3,41,3556.0
Westside,3,5,87884.0
Wheeler,3,5,87884.0
White Mesa,3,6,71882.0
Whitewater,3,5,87884.0
Wilcox,3,4,103632.0
Wild Horse,3,8,47244.0
Wildcat,3,7,57404.0
Williamsburg,3,4,103632.0
Willow Springs,3,3,131572.0
Windy,3,10,34544.0
Wingate,3,4,103632.0
Ysleta,3,8,47244.0
Yucca,3,7,57404.0
and Community,3,3,131572.0
and White,3,3,131572.0
de Don,3,3,131572.0
de Santa,3,6,71882.0
de las,3,12,23876.0
